Experiment,Outcome,Input tokens, Output tokens, Total reasoning tokens,Total tokens,Bad response cnt,Verification attempts,Resolution attempts,Soft-failed resolution cnt,Hard-failed resolution cnt,Responses with 'assume',Experiment time (ms),Iteration 1 time (ms),Iteration 2 time (ms),Iteration 3 time (ms),Iteration 4 time (ms),Iteration 5 time (ms),Iteration 6 time (ms),Iteration 7 time (ms),Iteration 8 time (ms)
p_4_1_a_sum_even_numbers,SUCCESS,268,638,512,906,0,1,1,0,0,0,18013,18008,,,,,,,
p_4_1_b_sum_squares,SUCCESS,266,6552,5116,6818,0,1,1,0,0,0,118011,118009,,,,,,,
p_4_1_c_powers_of_two_array,SUCCESS,464,3987,3582,4451,0,1,1,0,0,0,78540,78539,,,,,,,
p_4_1_c_powers_of_two_seq,SUCCESS,1448,7505,6590,8953,0,1,2,0,1,0,162314,127140,35167,,,,,,
p_4_1_d_sum_odd_numbers,SUCCESS,480,1478,1288,1958,0,1,1,0,0,0,32723,32723,,,,,,,
p_4_1_e_sum_odd_digits,SUCCESS,518,2783,2559,3301,0,1,1,0,0,0,57998,57992,,,,,,,
p_4_2_a_min_max_array,SUCCESS,412,588,397,1000,0,1,1,0,0,0,15641,15636,,,,,,,
p_4_2_a_min_max_seq,SUCCESS,422,1613,1361,2035,0,1,1,0,0,0,40115,40108,,,,,,,
p_4_2_b_count_even_odd_array,SUCCESS,578,4495,4026,5073,0,1,1,0,0,0,84751,84750,,,,,,,
p_4_2_b_count_even_odd_seq,SUCCESS,574,643,512,1217,0,1,1,0,0,0,17633,17632,,,,,,,
p_4_2_c_cumulative_totals_array,SUCCESS,428,660,512,1088,0,1,1,0,0,0,17791,17790,,,,,,,
p_4_2_c_cumulative_totals_seq,SUCCESS,438,5178,4316,5616,0,1,1,0,0,0,92177,92176,,,,,,,
p_4_2_d_adjacent_duplicates_array_without_4th_ensures,SUCCESS,2120,9709,7386,11829,0,2,2,0,0,0,242636,127793,114754,,,,,,
p_4_2_d_adjacent_duplicates_seq_without_4th_ensures,SUCCESS,2281,14635,12108,16916,0,1,2,0,1,0,327103,178377,148712,,,,,,
p_4_3_a_extract_uppercase,SUCCESS,2105,9855,8312,11960,0,1,2,0,1,0,184061,102731,81328,,,,,,
p_4_3_b_every_second_letter,SUCCESS,3450,7699,6128,11149,0,1,3,0,2,0,148593,83866,40679,24047,,,,,
p_4_3_c_replace_vowels,SUCCESS,1005,2043,1858,3048,0,2,2,0,0,0,65160,45574,19586,,,,,,
p_4_3_d_count_vowels,SUCCESS,460,631,512,1091,0,1,1,0,0,0,76000,75990,,,,,,,
p_4_3_e_positions_of_vowels_array,SUCCESS,1695,6683,5120,8378,0,2,2,0,0,0,130217,94022,36194,,,,,,
p_4_3_e_positions_of_vowels_seq,SUCCESS,430,1743,1536,2173,0,1,1,0,0,0,46881,46880,,,,,,,
p_4_4_month_with_highest_temperature_array,SUCCESS,354,646,512,1000,0,1,1,0,0,0,19607,19607,,,,,,,
p_4_4_month_with_highest_temperature_seq,SUCCESS,358,654,512,1012,0,1,1,0,0,0,18583,18582,,,,,,,
p_4_5_analyse_floats_array,SUCCESS,638,4461,3584,5099,0,1,1,0,0,0,87674,87674,,,,,,,
p_4_5_analyse_floats_seq,SUCCESS,2218,13704,11445,15922,0,2,2,0,0,0,266795,178754,88040,,,,,,
p_4_6_find_minimum_array,SUCCESS,332,494,369,826,0,1,1,0,0,0,15820,15820,,,,,,,
p_4_6_find_minimum_seq,SUCCESS,338,693,512,1031,0,1,1,0,0,0,20503,20503,,,,,,,
p_4_8_seperate_lines,SUCCESS,394,2132,2047,2526,0,1,1,0,0,0,44171,44171,,,,,,,
p_4_9_reverse_string,SUCCESS,318,6111,5631,6429,0,1,1,0,0,0,111462,111459,,,,,,,
